Codice attacco,Test Number,Data inizio attacco,Data fine attacco,Exit code
T1069.002  - ,5,2024-06-24T17:18:51+02:00,2024-06-24T17:18:53+02:00,1
T1069.002  - ,6,2024-06-24T17:18:55+02:00,2024-06-24T17:18:57+02:00,1
T1069.002  - ,7,2024-06-24T17:18:59+02:00,2024-06-24T17:19:00+02:00,0
T1069.002  - ,8,2024-06-24T17:19:02+02:00,2024-06-24T17:19:03+02:00,1
T1069.002  - ,9,2024-06-24T17:19:05+02:00,2024-06-24T17:19:05+02:00,0
T1069.002  - ,10,2024-06-24T17:19:08+02:00,2024-06-24T17:19:09+02:00,0
T1069.002  - ,11,2024-06-24T17:19:11+02:00,2024-06-24T17:19:12+02:00,0
T1069.002  - ,12,2024-06-24T17:19:14+02:00,2024-06-24T17:19:17+02:00,0
T1069.002  - ,13,2024-06-24T17:19:20+02:00,2024-06-24T17:19:22+02:00,0
T1069.002  - ,14,2024-06-24T17:19:25+02:00,2024-06-24T17:19:26+02:00,1
T1070  - ,1,2024-06-24T17:19:28+02:00,2024-06-24T17:19:29+02:00,0
T1070  - ,2,2024-06-24T17:19:32+02:00,2024-06-24T17:19:33+02:00,0
T1070.001  - ,1,2024-06-24T17:19:37+02:00,2024-06-24T17:19:37+02:00,0
T1070.001  - ,2,2024-06-24T17:19:40+02:00,2024-06-24T17:19:41+02:00,0
T1070.001  - ,3,2024-06-24T17:19:44+02:00,2024-06-24T17:19:45+02:00,0
T1070.003  - ,1,2024-06-24T17:19:48+02:00,2024-06-24T17:19:48+02:00,0
T1070.003  - ,2,2024-06-24T17:19:51+02:00,2024-06-24T17:19:52+02:00,0
T1070.003  - ,3,2024-06-24T17:19:55+02:00,2024-06-24T17:19:55+02:00,0
T1070.004  - ,1,2024-06-24T17:19:58+02:00,2024-06-24T17:19:58+02:00,0
T1070.004  - ,2,2024-06-24T17:20:01+02:00,2024-06-24T17:20:01+02:00,2
T1070.004  - ,3,2024-06-24T17:20:03+02:00,2024-06-24T17:20:04+02:00,0
T1070.004  - ,4,2024-06-24T17:20:06+02:00,2024-06-24T17:20:07+02:00,0
T1070.004  - ,5,2024-06-24T17:20:09+02:00,2024-06-24T17:20:10+02:00,0
T1070.004  - ,6,2024-06-24T17:20:12+02:00,2024-06-24T17:20:13+02:00,0
T1070.005  - ,1,2024-06-24T17:20:15+02:00,2024-06-24T17:20:15+02:00,1
T1070.005  - ,2,2024-06-24T17:20:17+02:00,2024-06-24T17:20:17+02:00,2
T1070.005  - ,3,2024-06-24T17:20:19+02:00,2024-06-24T17:20:21+02:00,0
T1070.005  - ,4,2024-06-24T17:20:23+02:00,2024-06-24T17:20:24+02:00,0
T1070.005  - ,5,2024-06-24T17:20:26+02:00,2024-06-24T17:20:26+02:00,0
T1070.006  - ,1,2024-06-24T17:20:28+02:00,2024-06-24T17:20:28+02:00,0
T1070.006  - ,2,2024-06-24T17:20:30+02:00,2024-06-24T17:20:30+02:00,0
T1070.006  - ,3,2024-06-24T17:20:32+02:00,2024-06-24T17:20:32+02:00,0
T1070.006  - ,4,2024-06-24T17:20:34+02:00,2024-06-24T17:20:35+02:00,0
T1070.008  - ,1,2024-06-24T17:20:36+02:00,2024-06-24T17:20:37+02:00,0
T1070.008  - ,2,2024-06-24T17:20:38+02:00,2024-06-24T17:20:39+02:00,0
T1071  - ,1,2024-06-24T17:20:40+02:00,2024-06-24T17:20:43+02:00,0
T1071.001  - ,1,2024-06-24T17:20:45+02:00,2024-06-24T17:20:45+02:00,0
T1071.001  - ,2,2024-06-24T17:20:47+02:00,2024-06-24T17:20:47+02:00,0
T1071.004  - ,1,2024-06-24T17:20:49+02:00,2024-06-24T17:22:41+02:00,-1
T1071.004  - ,2,2024-06-24T17:22:43+02:00,2024-06-24T17:24:33+02:00,-1
T1071.004  - ,3,2024-06-24T17:24:36+02:00,2024-06-24T17:25:57+02:00,0
T1071.004  - ,4,2024-06-24T17:25:59+02:00,2024-06-24T17:26:01+02:00,0
T1072  - ,1,2024-06-24T17:26:03+02:00,2024-06-24T17:26:04+02:00,1
T1072  - ,2,2024-06-24T17:26:06+02:00,2024-06-24T17:26:06+02:00,1
T1072  - ,3,2024-06-24T17:26:08+02:00,2024-06-24T17:26:08+02:00,0
T1074.001  - ,1,2024-06-24T17:26:11+02:00,2024-06-24T17:26:11+02:00,0
T1074.001  - ,2,2024-06-24T17:26:14+02:00,2024-06-24T17:26:14+02:00,0
T1078.001  - ,1,2024-06-24T17:26:16+02:00,2024-06-24T17:26:17+02:00,0
T1078.001  - ,2,2024-06-24T17:26:19+02:00,2024-06-24T17:26:19+02:00,0
T1078.003  - ,1,2024-06-24T17:26:21+02:00,2024-06-24T17:26:21+02:00,0
T1078.003  - ,2,2024-06-24T17:26:23+02:00,2024-06-24T17:26:28+02:00,0
T1078.003  - ,3,2024-06-24T17:26:30+02:00,2024-06-24T17:27:03+02:00,0
T1082  - ,1,2024-06-24T17:27:05+02:00,2024-06-24T17:27:07+02:00,0
T1082  - ,2,2024-06-24T17:27:09+02:00,2024-06-24T17:27:09+02:00,0
T1082  - ,3,2024-06-24T17:27:11+02:00,2024-06-24T17:27:11+02:00,0
T1082  - ,4,2024-06-24T17:27:13+02:00,2024-06-24T17:27:15+02:00,0
T1082  - ,5,2024-06-24T17:27:17+02:00,2024-06-24T17:27:18+02:00,0
T1082  - ,6,2024-06-24T17:27:20+02:00,2024-06-24T17:27:40+02:00,0
T1082  - ,7,2024-06-24T17:27:42+02:00,2024-06-24T17:28:12+02:00,0
T1082  - ,8,2024-06-24T17:28:14+02:00,2024-06-24T17:28:21+02:00,0
T1082  - ,9,2024-06-24T17:28:24+02:00,2024-06-24T17:30:13+02:00,-1
T1003  - ,1,2024-07-03T17:48:29+02:00,2024-07-03T17:48:30+02:00,1
T1003  - ,2,2024-07-03T17:48:32+02:00,2024-07-03T17:48:32+02:00,0
T1003  - ,3,2024-07-03T17:48:34+02:00,2024-07-03T17:48:35+02:00,0
T1003  - ,4,2024-07-03T17:48:37+02:00,2024-07-03T17:48:38+02:00,0
T1003  - ,5,2024-07-03T17:48:40+02:00,2024-07-03T17:48:40+02:00,0
T1003  - ,6,2024-07-03T17:48:42+02:00,2024-07-03T17:48:43+02:00,0
T1003  - ,7,2024-07-03T17:48:45+02:00,2024-07-03T17:48:47+02:00,0
T1047  - ,1,2024-07-03T17:48:49+02:00,2024-07-03T17:48:50+02:00,0
T1047  - ,2,2024-07-03T17:48:52+02:00,2024-07-03T17:48:52+02:00,0
T1047  - ,3,2024-07-03T17:48:54+02:00,2024-07-03T17:48:55+02:00,0
T1047  - ,4,2024-07-03T17:48:58+02:00,2024-07-03T17:49:00+02:00,0
T1047  - ,5,2024-07-03T17:49:02+02:00,2024-07-03T17:49:02+02:00,0
T1047  - ,6,2024-07-03T17:49:05+02:00,2024-07-03T17:49:05+02:00,-2147024882
T1047  - ,7,2024-07-03T17:49:07+02:00,2024-07-03T17:49:08+02:00,0
T1047  - ,8,2024-07-03T17:49:10+02:00,2024-07-03T17:49:11+02:00,0
T1047  - ,9,2024-07-03T17:49:13+02:00,2024-07-03T17:49:13+02:00,0
T1047  - ,10,2024-07-03T17:49:16+02:00,2024-07-03T17:49:21+02:00,0
T1055  - ,1,2024-07-03T17:49:23+02:00,2024-07-03T17:49:24+02:00,0
T1055  - ,2,2024-07-03T17:49:26+02:00,2024-07-03T17:49:26+02:00,1
T1055  - ,3,2024-07-03T17:49:28+02:00,2024-07-03T17:49:30+02:00,0
T1055  - ,4,2024-07-03T17:49:32+02:00,2024-07-03T17:50:55+02:00,0
T1055  - ,5,2024-07-03T17:50:57+02:00,2024-07-03T17:51:03+02:00,0
T1055  - ,6,2024-07-03T17:51:05+02:00,2024-07-03T17:51:06+02:00,0
T1055  - ,7,2024-07-03T17:51:08+02:00,2024-07-03T17:51:09+02:00,0
T1055  - ,8,2024-07-03T17:51:11+02:00,2024-07-03T17:51:12+02:00,0
T1055  - ,9,2024-07-03T17:51:14+02:00,2024-07-03T17:51:15+02:00,0
T1055  - ,10,2024-07-03T17:51:18+02:00,2024-07-03T17:51:18+02:00,0
T1055  - ,11,2024-07-03T17:51:21+02:00,2024-07-03T17:51:22+02:00,0
T1055  - ,12,2024-07-03T17:51:24+02:00,2024-07-03T17:51:25+02:00,0
T1055  - ,13,2024-07-03T17:51:27+02:00,2024-07-03T17:53:00+02:00,0
T1059  - ,1,2024-07-03T17:53:03+02:00,2024-07-03T17:53:03+02:00,0
T1072  - ,1,2024-07-03T17:53:05+02:00,2024-07-03T17:53:05+02:00,1
T1072  - ,2,2024-07-03T17:53:07+02:00,2024-07-03T17:53:07+02:00,1
T1072  - ,3,2024-07-03T17:53:09+02:00,2024-07-03T17:53:09+02:00,0
T1098  - ,1,2024-07-03T17:53:11+02:00,2024-07-03T17:53:12+02:00,0
T1098  - ,2,2024-07-03T17:53:14+02:00,2024-07-03T17:53:14+02:00,0
T1098  - ,3,2024-07-03T17:53:17+02:00,2024-07-03T17:53:17+02:00,1
T1098  - ,4,2024-07-03T17:53:19+02:00,2024-07-03T17:53:20+02:00,0
T1098  - ,5,2024-07-03T17:53:22+02:00,2024-07-03T17:53:22+02:00,0
T1098  - ,6,2024-07-03T17:53:25+02:00,2024-07-03T17:53:25+02:00,0
T1098  - ,7,2024-07-03T17:53:28+02:00,2024-07-03T17:53:28+02:00,0
T1098  - ,8,2024-07-03T17:53:31+02:00,2024-07-03T17:53:31+02:00,0
T1098  - ,9,2024-07-03T17:53:34+02:00,2024-07-03T17:53:34+02:00,0
T1098  - ,10,2024-07-03T17:53:37+02:00,2024-07-03T17:53:38+02:00,0
T1106  - ,1,2024-07-03T17:53:40+02:00,2024-07-03T17:53:41+02:00,0
T1106  - ,2,2024-07-03T17:53:44+02:00,2024-07-03T17:53:45+02:00,0
T1106  - ,3,2024-07-03T17:53:47+02:00,2024-07-03T17:55:37+02:00,-1
T1106  - ,4,2024-07-03T17:55:39+02:00,2024-07-03T17:55:47+02:00,0
T1106  - ,5,2024-07-03T17:55:50+02:00,2024-07-03T17:55:50+02:00,0
T1129  - ,1,2024-07-03T17:55:53+02:00,2024-07-03T17:55:53+02:00,255
T1137  - ,1,2024-07-03T17:55:55+02:00,2024-07-03T17:55:55+02:00,0
T1187  - ,1,2024-07-03T17:55:58+02:00,2024-07-03T17:55:58+02:00,0
T1187  - ,2,2024-07-03T17:56:00+02:00,2024-07-03T17:56:01+02:00,0
T1187  - ,3,2024-07-03T17:56:03+02:00,2024-07-03T17:56:05+02:00,0
T1546  - ,1,2024-07-03T17:56:07+02:00,2024-07-03T17:56:08+02:00,0
T1546  - ,2,2024-07-03T17:56:10+02:00,2024-07-03T17:56:10+02:00,0
T1546  - ,3,2024-07-03T17:56:12+02:00,2024-07-03T17:56:13+02:00,0
T1546  - ,4,2024-07-03T17:56:14+02:00,2024-07-03T17:56:18+02:00,0
T1547  - ,1,2024-07-03T17:56:20+02:00,2024-07-03T17:56:20+02:00,0
T1555  - ,1,2024-07-03T17:56:22+02:00,2024-07-03T17:56:23+02:00,0
T1555  - ,2,2024-07-03T17:56:25+02:00,2024-07-03T17:56:26+02:00,0
T1555  - ,3,2024-07-03T17:56:28+02:00,2024-07-03T17:56:29+02:00,0
T1555  - ,4,2024-07-03T17:56:31+02:00,2024-07-03T17:56:32+02:00,0
T1555  - ,5,2024-07-03T17:56:34+02:00,2024-07-03T17:56:34+02:00,0
T1555  - ,6,2024-07-03T17:56:36+02:00,2024-07-03T17:56:55+02:00,0
T1555  - ,7,2024-07-03T17:56:57+02:00,2024-07-03T17:56:59+02:00,0
T1555  - ,8,2024-07-03T17:57:01+02:00,2024-07-03T17:57:03+02:00,0
T1559  - ,1,2024-07-03T17:57:05+02:00,2024-07-03T17:57:05+02:00,1
T1559  - ,2,2024-07-03T17:57:07+02:00,2024-07-03T17:57:07+02:00,1
T1559  - ,3,2024-07-03T17:57:09+02:00,2024-07-03T17:57:09+02:00,1
T1559  - ,4,2024-07-03T17:57:12+02:00,2024-07-03T17:57:12+02:00,1
T1559  - ,5,2024-07-03T17:57:14+02:00,2024-07-03T17:57:14+02:00,1
